C,C_src,AR,AR_src,Inv,Inv_src,K,K_src,AP,AP_src,STD,STD_src,LTD,LTD_src,TA,TA_src,TL,TL_src,TCA,TCA_src,TCL,TCL_src,E_report,E_report_src,E_gross_report,E_gross_report_src,MI_report,MI_report_src,date,freq,S,S_src,COGS,COGS_src,OPEX,OPEX_src,I,I_src,NI,NI_src,Tax,Tax_src,DA,DA_src,EquityIssues,EquityIssues_src,NewDebt,NewDebt_src,Repay,Repay_src,CapEx,CapEx_src,Div,Div_src,Buyback,Buyback_src,DA_cf,DA_cf_src,period_days,ticker,sector,mask_C,mask_AR,mask_Inv,mask_K,mask_AP,mask_STD,mask_LTD,mask_TA,mask_TL,mask_TCA,mask_TCL,mask_E_gross_report,mask_S,mask_COGS,mask_OPEX,mask_I,mask_NI,mask_Tax,mask_DA,mask_CapEx,mask_EquityIssues,mask_NewDebt,mask_Repay,mask_Div,mask_Buyback,E_implied,mask_E_implied,audit_A_minus_L_plus_E,audit_A_minus_L_plus_E_implied,OCA_implied,ONCA_implied,OCL_implied,ONCL_implied,year,month,logS,logS_growth,m_gross,m_opex,dso_impl,dio_impl,dpo_impl,capex_to_sales,dep_to_ppe,cash_to_sales,debt_to_assets,alpha_OCA,alpha_ONCA,alpha_OCL,alpha_ONCL,DSO,DIO,DPO,kappa,delta,payout,neteq_to_sales,phi,r_ST,r_LT,tau,year_norm,q_sin,q_cos,dt_norm,horizon_norm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,ABBV,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2021,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.8369701987210297e-16,1.0,0.0
9201000000.0,Cash And Cash Equivalents,11254000000.0,Accounts Receivable,3579000000.0,Inventory,4935000000.0,Net PPE,2934000000.0,Accounts Payable,4136000000.0,Current Debt,59135000000.0,Long Term Debt,138805000000.0,Total Assets,121518000000.0,Total Liabilities Net Minority Interest,28463000000.0,Current Assets,29538000000.0,Current Liabilities,17287000000.0,Total Equity Gross Minority Interest,17287000000.0,Total Equity Gross Minority Interest,33000000.0,Minority Interest,2022-12-31,A,58054000000.0,Total Revenue,17414000000.0,Cost Of Revenue,21826000000.0,Operating Expense,2230000000.0,Interest Expense,11836000000.0,Net Income,1632000000.0,Tax Provision,778000000.0,,0.0,Net Common Stock Issuance,6000000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,57732000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,695000000.0,Capital Expenditure,10043000000.0,Cash Dividends Paid,2974000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,778000000.0,Depreciation,365.0,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17287000000.0,1,0.0,0.0,4429000000.0,105407000000.0,22468000000.0,32845000000.0,2022,12,24.78463944883181,,0.7000378957522306,0.3759603128122093,70.75670927067902,75.01636614218445,61.497071321924885,0.011971612636510835,,0.158490371033865,0.4558265192176074,0.07629103937713164,1.0,0.3870189823267992,0.5657663554621559,70.75670927067902,75.01636614218445,61.497071321924885,0.011971612636510835,,0.8485130111524164,-0.05122816687911255,0.158490371033865,,,0.12117612117612117,0.2,-1.0,-1.8369701987210297e-16,1.0,0.0
12814000000.0,Cash And Cash Equivalents,11155000000.0,Accounts Receivable,4099000000.0,Inventory,4989000000.0,Net PPE,3688000000.0,Accounts Payable,7191000000.0,Current Debt,52194000000.0,Long Term Debt,134711000000.0,Total Assets,124314000000.0,Total Liabilities Net Minority Interest,33002000000.0,Current Assets,37841000000.0,Current Liabilities,10397000000.0,Total Equity Gross Minority Interest,10397000000.0,Total Equity Gross Minority Interest,37000000.0,Minority Interest,2023-12-31,A,54318000000.0,Total Revenue,20415000000.0,Cost Of Revenue,20368000000.0,Operating Expense,2224000000.0,Interest Expense,4863000000.0,Net Income,1377000000.0,Tax Provision,752000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,16596000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,777000000.0,Capital Expenditure,10539000000.0,Cash Dividends Paid,3944000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,752000000.0,Depreciation,365.0,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,10397000000.0,1,0.0,0.0,4934000000.0,96720000000.0,26962000000.0,34279000000.0,2023,12,24.71812150066777,-0.06651794816404077,0.6241577377664862,0.37497698737066903,74.95811701461763,73.28606416850356,65.93779084006857,0.014304650392135203,0.1523809523809524,0.2359070657977098,0.4408325971895391,0.09083545049523178,1.0,0.496373209617438,0.6310799366692441,74.95811701461763,73.28606416850356,65.93779084006857,0.014304650392135203,0.1523809523809524,1.0,-0.07260944806509813,0.2359070657977098,0.035150384852460054,0.035150384852460054,0.22067307692307692,0.4,-1.0,-1.8369701987210297e-16,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,ABBV,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,6.123233995736766e-17,0.25,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-30,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25,ABBV,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,2024,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2246467991473532e-16,-1.0,0.25,0.0
5524000000.0,Cash And Cash Equivalents,10919000000.0,Accounts Receivable,4181000000.0,Inventory,5134000000.0,Net PPE,2945000000.0,Accounts Payable,6804000000.0,Current Debt,60340000000.0,Long Term Debt,135161000000.0,Total Assets,131797000000.0,Total Liabilities Net Minority Interest,25582000000.0,Current Assets,38749000000.0,Current Liabilities,3364000000.0,Total Equity Gross Minority Interest,3364000000.0,Total Equity Gross Minority Interest,39000000.0,Minority Interest,2024-12-31,Q,15102000000.0,Total Revenue,4396000000.0,Cost Of Revenue,10622000000.0,Operating Expense,702000000.0,Interest Expense,-22000000.0,Net Income,-2246000000.0,Tax Provision,206000000.0,,0.0,Net Common Stock Issuance,6000000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,23048000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,291000000.0,Capital Expenditure,2752000000.0,Cash Dividends Paid,716000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,206000000.0,Depreciation,91.25,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3364000000.0,1,0.0,0.0,4958000000.0,104445000000.0,29000000000.0,32708000000.0,2024,12,23.438093022327646,,0.7089127267911535,0.70335054959608,65.97528473049927,86.78713603275705,61.130857597816195,0.01926897099721891,,0.36577936697126207,0.4967705181228313,0.3283008872996954,1.0,0.5,1.0,65.97528473049927,86.78713603275705,61.130857597816195,0.01926897099721891,,0.0,-0.047410938948483645,0.36577936697126207,,,0.0,0.6,-1.0,-1.8369701987210297e-16,0.25,0.0
5175000000.0,Cash And Cash Equivalents,12477000000.0,Accounts Receivable,4526000000.0,Inventory,5237000000.0,Net PPE,31041000000.0,Payables And Accrued Expenses,5362000000.0,Current Debt,64527000000.0,Long Term Debt,136165000000.0,Total Assets,134703000000.0,Total Liabilities Net Minority Interest,27675000000.0,Current Assets,36403000000.0,Current Liabilities,1462000000.0,Total Equity Gross Minority Interest,1462000000.0,Total Equity Gross Minority Interest,42000000.0,Minority Interest,2025-03-31,Q,13343000000.0,Total Revenue,4002000000.0,Cost Of Revenue,5360000000.0,Operating Expense,700000000.0,Interest Expense,1286000000.0,Net Income,372000000.0,Tax Provision,181000000.0,,0.0,Net Common Stock Issuance,15168000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,12104000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,235000000.0,Capital Expenditure,2925000000.0,Cash Dividends Paid,1922000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,181000000.0,Depreciation,91.25,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1462000000.0,1,0.0,0.0,5497000000.0,103253000000.0,0.0,33773000000.0,2025,3,23.314257739706694,-0.12383528262095211,0.700067451097954,0.40170876114816756,85.32760623547928,103.19777611194402,707.768928035982,0.01761223113242899,0.03525516166731593,0.38784381323540434,0.5132669922520472,0.41197631717005173,1.0,0.0,1.0,85.32760623547928,103.19777611194402,707.768928035982,0.01761223113242899,0.03525516166731593,1.0,-0.14404556696395113,0.38784381323540434,0.010425354462051709,0.010425354462051709,0.2243667068757539,0.8,0.0,1.0,0.25,0.0
6467000000.0,Cash And Cash Equivalents,12637000000.0,Accounts Receivable,4960000000.0,Inventory,5283000000.0,Net PPE,32245000000.0,Payables And Accrued Expenses,7522000000.0,Current Debt,62959000000.0,Long Term Debt,137182000000.0,Total Assets,137320000000.0,Total Liabilities Net Minority Interest,29261000000.0,Current Assets,39767000000.0,Current Liabilities,-138000000.0,Total Equity Gross Minority Interest,-138000000.0,Total Equity Gross Minority Interest,45000000.0,Minority Interest,2025-06-30,Q,15423000000.0,Total Revenue,4346000000.0,Cost Of Revenue,5360000000.0,Operating Expense,740000000.0,Interest Expense,938000000.0,Net Income,613000000.0,Tax Provision,186000000.0,,0.0,Net Common Stock Issuance,7926000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,15016000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,269000000.0,Capital Expenditure,2910000000.0,Cash Dividends Paid,24000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,186000000.0,Depreciation,91.25,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-138000000.0,1,0.0,0.0,5197000000.0,102638000000.0,0.0,34594000000.0,2025,6,23.459125738687888,0.1448679989811943,0.718213058419244,0.34753290540102444,74.76666342475524,104.14173953060285,677.0262885411873,0.017441483498670817,0.035516517089936986,0.4193088244829151,0.5137773177238997,0.3369642741360306,1.0,0.0,1.0,74.76666342475524,104.14173953060285,677.0262885411873,0.017441483498670817,0.035516517089936986,1.0,-0.0015561174868702586,0.4193088244829151,0.01058821846070197,0.01058821846070197,0.3952288845905867,0.8,1.0,6.123233995736766e-17,0.25,0.0
5629000000.0,Cash And Cash Equivalents,12769000000.0,Accounts Receivable,4938000000.0,Inventory,5483000000.0,Net PPE,33619000000.0,Payables And Accrued Expenses,5772000000.0,Current Debt,62971000000.0,Long Term Debt,133898000000.0,Total Assets,136497000000.0,Total Liabilities Net Minority Interest,28539000000.0,Current Assets,39391000000.0,Current Liabilities,-2599000000.0,Total Equity Gross Minority Interest,-2599000000.0,Total Equity Gross Minority Interest,43000000.0,Minority Interest,2025-09-30,Q,15776000000.0,Total Revenue,5304000000.0,Cost Of Revenue,5888000000.0,Operating Expense,739000000.0,Interest Expense,186000000.0,Net Income,526000000.0,Tax Provision,192000000.0,,0.0,Net Common Stock Issuance,482000000.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,6057000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,381000000.0,Capital Expenditure,2911000000.0,Cash Dividends Paid,8000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,192000000.0,Depreciation,91.25,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-2599000000.0,1,0.0,0.0,5203000000.0,99876000000.0,0.0,34135000000.0,2025,9,23.481755634806692,0.022629896118804282,0.6637931034482758,0.37322515212981744,73.85720398073022,84.9533371040724,578.3811745852187,0.024150608519269777,0.03634298693923907,0.3568078093306288,0.5133982583757786,0.32980476673427994,1.0,0.0,1.0,73.85720398073022,84.9533371040724,578.3811745852187,0.024150608519269777,0.03634298693923907,1.0,-0.0005070993914807302,0.3568078093306288,0.010485095273903604,0.010485095273903604,0.5,0.8,1.2246467991473532e-16,-1.0,0.25,0.0
5229000000.0,Cash And Cash Equivalents,12589000000.0,Accounts Receivable,4951000000.0,Inventory,5628000000.0,Net PPE,3592000000.0,Accounts Payable,8555000000.0,Current Debt,58941000000.0,Long Term Debt,133960000000.0,Total Assets,137188000000.0,Total Liabilities Net Minority Interest,29062000000.0,Current Assets,43289000000.0,Current Liabilities,-3228000000.0,Total Equity Gross Minority Interest,-3228000000.0,Total Equity Gross Minority Interest,42000000.0,Minority Interest,2025-12-31,Q,16618000000.0,Total Revenue,4552000000.0,Cost Of Revenue,6257000000.0,Operating Expense,714000000.0,Interest Expense,1816000000.0,Net Income,853000000.0,Tax Provision,203000000.0,,0.0,Net Common Stock Issuance,0.0,Issuance Of Debt+Long Term Debt Issuance+Issuance Of Debt,2405000000.0,Repayment Of Debt+Long Term Debt Payments+Repayment Of Debt+Short Term Debt Payments+Long Term Debt Payments,329000000.0,Capital Expenditure,2911000000.0,Cash Dividends Paid,6000000.0,Repurchase Of Capital Stock+Repurchase Of Capital Stock,203000000.0,Depreciation,91.25,ABBV,Health Care,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-3228000000.0,1,0.0,0.0,6293000000.0,99270000000.0,31142000000.0,34958000000.0,2025,12,23.5337522821892,0.05199664738250931,0.7260801540498255,0.37651943675532556,69.12662474425322,99.24840729349737,72.00571177504393,0.019797809604043808,0.0370235272660952,0.3146588037068239,0.5038518960883845,0.37868576242628477,1.0,0.5,1.0,69.12662474425322,99.24840729349737,72.00571177504393,0.019797809604043808,0.0370235272660952,1.0,-0.00036105427849320016,0.3146588037068239,0.01038651208123009,0.01038651208123009,0.31959535406519296,0.8,-1.0,-1.8369701987210297e-16,0.25,0.0
